2025-10-11 10:55:45.792 | INFO     | __main__:fetch_bill_of_lading_data:255 - {'invoiceNo': '174225', 'invoiceResult': {'arancelarios': '305977.31', 'sobre': '449363.78', 'selectivo': '29986.50', 'procomer': '1518.00', 'archivo': '20.00', 'asociacion': '50.00', 'contadores': '2.00', 'Ley6946': '29533.01'}}
2025-10-11 10:55:49.922 | INFO     | __main__:get_release_messages:36 - 剩余未执行指令数量：
2025-10-11 10:55:49.922 | INFO     | __main__:get_release_messages:39 - 获取的指令：{"invoiceNo": "174230"}
2025-10-11 10:56:13.261 | INFO     | __main__:fetch_bill_of_lading_data:255 - {'invoiceNo': '174230', 'invoiceResult': {'arancelarios': '211994.63', 'sobre': '426350.49', 'selectivo': '19926.55', 'procomer': '1518.00', 'archivo': '20.00', 'asociacion': '50.00', 'contadores': '2.00', 'Ley6946': '20886.25'}}
2025-10-11 10:56:17.393 | INFO     | __main__:get_release_messages:36 - 剩余未执行指令数量：
2025-10-11 10:56:17.393 | INFO     | __main__:get_release_messages:39 - 获取的指令：{"invoiceNo": "174364"}
2025-10-11 10:56:35.637 | INFO     | __main__:fetch_bill_of_lading_data:255 - {'invoiceNo': '174364', 'invoiceResult': {'arancelarios': '420158.39', 'sobre': '527566.31', 'selectivo': '5402.58', 'procomer': '1518.99', 'archivo': '20.00', 'asociacion': '50.00', 'contadores': '2.00', 'Ley6946': '35770.79'}}
2025-10-11 10:56:39.756 | INFO     | __main__:get_release_messages:36 - 剩余未执行指令数量：
2025-10-11 10:56:39.757 | INFO     | __main__:get_release_messages:39 - 获取的指令：{"invoiceNo": "174365"}
2025-10-11 10:56:55.969 | INFO     | __main__:fetch_bill_of_lading_data:255 - {'invoiceNo': '174365', 'invoiceResult': {'arancelarios': '470913.98', 'sobre': '559276.30', 'selectivo': '9392.73', 'procomer': '1518.99', 'archivo': '20.00', 'asociacion': '50.00', 'contadores': '2.00', 'Ley6946': '37752.74'}}
